




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (101)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of translation in response to endoplasmic reticulum stress (GO:0036490)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipoprotein metabolic process (GO:0050747)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of lipoprotein metabolic process (GO:0050746)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of aerobic respiration (GO:1903715)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular component biogenesis (GO:0044089)	136	0	.99	-	 < 0.01	6.29E-01	1.00E00
negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of synaptic specificity at neuromuscular junction (GO:0007529)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of vacuole organization (GO:0044088)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuromuscular junction development (GO:0007528)	84	0	.61	-	 < 0.01	1.00E00	1.00E00
adult somatic muscle development (GO:0007527)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
larval somatic muscle development (GO:0007526)	39	0	.29	-	 < 0.01	1.00E00	1.00E00
somatic muscle development (GO:0007525)	78	0	.57	-	 < 0.01	1.00E00	1.00E00
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	31	0	.23	-	 < 0.01	1.00E00	1.00E00
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	50	0	.37	-	 < 0.01	1.00E00	1.00E00
larval visceral muscle development (GO:0007523)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
plasma membrane bounded cell projection assembly (GO:0120031)	166	0	1.21	-	 < 0.01	6.37E-01	1.00E00
visceral muscle development (GO:0007522)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
muscle cell fate determination (GO:0007521)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
myoblast fusion (GO:0007520)	31	0	.23	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hemopoiesis (GO:1903706)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitophagy (GO:1901526)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitophagy (GO:1901525)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitophagy (GO:1901524)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
muscle organ development (GO:0007517)	73	0	.53	-	 < 0.01	1.00E00	1.00E00
hemocyte development (GO:0007516)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
adult heart development (GO:0007512)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardioblast cell fate determination (GO:0007510)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of inflammatory response (GO:0050729)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of inflammatory response (GO:0050728)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of inflammatory response (GO:0050727)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
endothelium development (GO:0003158)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule-based protein transport (GO:0099118)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
outflow tract morphogenesis (GO:0003151)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-end processing (GO:0099116)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
terpene catabolic process (GO:0046247)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule-based transport (GO:0099111)	85	0	.62	-	 < 0.01	1.00E00	1.00E00
mesoderm migration involved in gastrulation (GO:0007509)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
larval heart development (GO:0007508)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
heart development (GO:0007507)	99	0	.72	-	 < 0.01	1.00E00	1.00E00
gonadal mesoderm development (GO:0007506)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
adult fat body development (GO:0007505)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
larval fat body development (GO:0007504)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
fat body development (GO:0007503)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of excretion (GO:0044062)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle recycling via endosome (GO:0036466)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
digestive tract mesoderm development (GO:0007502)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of endocrine process (GO:0044060)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle recycling (GO:0036465)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
mesodermal cell fate specification (GO:0007501)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mesodermal cell fate determination (GO:0007500)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to disaccharide (GO:0034285)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein secretion (GO:0050714)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
embryonic heart tube formation (GO:0003144)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic heart tube morphogenesis (GO:0003143)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ether biosynthetic process (GO:1901503)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of digestive system process (GO:0044058)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein secretion (GO:0050709)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of protein secretion (GO:0050708)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of appetite (GO:0032098)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of response to food (GO:0032095)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to food (GO:0032094)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucan metabolic process (GO:0044042)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
calcium import into the mitochondrion (GO:0036444)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of GTPase activity (GO:0034260)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of amide metabolic process (GO:0034250)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nitric oxide metabolic process (GO:0046209)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of nuclease activity (GO:0032074)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of amide metabolic process (GO:0034249)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of amide metabolic process (GO:0034248)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
snoRNA splicing (GO:0034247)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription elongation by RNA polymerase II (GO:0034244)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of nuclease activity (GO:0032069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of protein location in cell cortex (GO:0032065)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization assembly (GO:0098698)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle cycle (GO:0098693)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA stabilization (GO:0036416)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tRNA stability (GO:0036415)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	46	0	.34	-	 < 0.01	1.00E00	1.00E00
negative regulation of translational initiation in response to stress (GO:0032057)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of translation in response to stress (GO:0032055)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary basal body organization (GO:0032053)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	60	0	.44	-	 < 0.01	1.00E00	1.00E00
regulation of non-canonical Wnt signaling pathway (GO:2000050)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA thio-modification (GO:0034227)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
cardiolipin biosynthetic process (GO:0032049)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cardiolipin metabolic process (GO:0032048)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell-cell adhesion mediated by cadherin (GO:2000049)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell-cell adhesion mediated by cadherin (GO:2000048)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell-cell adhesion mediated by cadherin (GO:2000047)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac cell fate specification (GO:2000044)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac cell fate specification (GO:2000043)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transport (GO:0034219)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic translation in response to stress (GO:1990497)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic anion transmembrane transport (GO:0098661)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of stem cell population maintenance (GO:2000036)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell size (GO:0045793)	41	0	.30	-	 < 0.01	1.00E00	1.00E00
regulation of stem cell division (GO:2000035)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell size (GO:0045792)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
amyloid-beta formation (GO:0034205)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glycolipid translocation (GO:0034203)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of insulin secretion (GO:0032024)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of immune effector process (GO:0002699)	57	0	.42	-	 < 0.01	1.00E00	1.00E00
negative regulation of immune effector process (GO:0002698)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of immune effector process (GO:0002697)	77	0	.56	-	 < 0.01	1.00E00	1.00E00
monoatomic anion transmembrane transport (GO:0098656)	31	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell cycle (GO:0045787)	68	0	.50	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell cycle (GO:0045786)	92	0	.67	-	 < 0.01	1.00E00	1.00E00
cytosolic small ribosomal subunit assembly (GO:0180025)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
centromere clustering (GO:0098653)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of animal organ morphogenesis (GO:2000027)	24	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell adhesion (GO:0045785)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
mRNA pseudouridine synthesis (GO:1990481)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of male gonad development (GO:2000020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heat acclimation (GO:0010286)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of ARF protein signal transduction (GO:0032014)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ARF protein signal transduction (GO:0032012)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
ARF protein signal transduction (GO:0032011)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of immune system process (GO:0002684)	136	0	.99	-	 < 0.01	6.29E-01	1.00E00
negative regulation of immune system process (GO:0002683)	100	0	.73	-	 < 0.01	1.00E00	1.00E00
regulation of immune system process (GO:0002682)	256	0	1.87	-	 < 0.01	2.68E-01	1.00E00
regulation of male gonad development (GO:2000018)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of determination of dorsal identity (GO:2000017)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of axon extension (GO:0045773)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
co-transcriptional RNA 3'-end processing, cleavage and polyadenylation pathway (GO:0180012)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of determination of dorsal identity (GO:2000015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytosolic mRNA polyadenylation (GO:0180011)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
co-transcriptional mRNA 3'-end processing, cleavage and polyadenylation pathway (GO:0180010)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of autophagosome size (GO:0045771)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to cell surface (GO:2000010)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate interconversion (GO:0035999)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of TOR signaling (GO:0032008)	36	0	.26	-	 < 0.01	1.00E00	1.00E00
negative regulation of TOR signaling (GO:0032007)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of TOR signaling (GO:0032006)	55	0	.40	-	 < 0.01	1.00E00	1.00E00
response to silver ion (GO:0010272)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
prosthetic group metabolic process (GO:0051189)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
box H/ACA sno(s)RNA 3'-end processing (GO:0000495)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to cell surface (GO:2000008)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
box C/D sno(s)RNA 3'-end processing (GO:0000494)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP assembly (GO:0000493)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNP assembly (GO:0000492)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
detoxification of iron ion (GO:1990461)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of amino acid metabolic process (GO:0045764)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
small nucleolar ribonucleoprotein complex assembly (GO:0000491)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
renal zinc excretion (GO:0180002)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of action potential (GO:0045760)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA damage checkpoint (GO:2000002)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA damage checkpoint (GO:2000001)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of retrograde protein transport, ER to cytosol (GO:1904153)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endodermal cell differentiation (GO:0035987)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of retrograde protein transport, ER to cytosol (GO:1904152)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cGAS/STING signaling pathway (GO:0140896)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
cell surface toll-like receptor signaling pathway (GO:0140895)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SCF complex assembly (GO:0010265)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network membrane organization (GO:0098629)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of action potential (GO:0045759)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic sister chromatid cohesion (GO:0051177)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
maturation of 5S rRNA (GO:0000481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of phosphorus metabolic process (GO:0051174)	115	0	.84	-	 < 0.01	1.00E00	1.00E00
positive regulation of Toll signaling pathway (GO:0045752)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of Toll signaling pathway (GO:0045751)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
import into nucleus (GO:0051170)	50	0	.37	-	 < 0.01	1.00E00	1.00E00
peroxisomal transport (GO:0043574)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
protein deglycosylation involved in glycoprotein catabolic process (GO:0035977)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
maintenance of DNA repeat elements (GO:0043570)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
aggrephagy (GO:0035973)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-histidine dephosphorylation (GO:0035971)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
endomembrane system organization (GO:0010256)	206	0	1.51	-	 < 0.01	4.09E-01	1.00E00
peptidyl-threonine dephosphorylation (GO:0035970)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
nuclear transport (GO:0051169)	120	0	.88	-	 < 0.01	1.00E00	1.00E00
positive regulation of Notch signaling pathway (GO:0045747)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
nuclear export (GO:0051168)	85	0	.62	-	 < 0.01	1.00E00	1.00E00
negative regulation of Notch signaling pathway (GO:0045746)	39	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of G protein-coupled receptor signaling pathway (GO:0045745)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of G protein-coupled receptor signaling pathway (GO:0045744)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of fibroblast growth factor receptor signaling pathway (GO:0045743)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
maturation of LSU-rRNA (GO:0000470)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
hemoglobin metabolic process (GO:0020027)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of insulin-like growth factor receptor signaling pathway (GO:0043569)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of insulin-like growth factor receptor signaling pathway (GO:0043568)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA replication (GO:0045740)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to topologically incorrect protein (GO:0035967)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
cellular response to nitrogen levels (GO:0043562)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to topologically incorrect protein (GO:0035966)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
cardiolipin acyl-chain remodeling (GO:0035965)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle budding (GO:0035964)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion (GO:0098609)	116	0	.85	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA repair (GO:0045739)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA repair (GO:0045738)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	31	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of striated muscle cell differentiation (GO:0051155)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000461)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein catabolic process (GO:0045732)	60	0	.44	-	 < 0.01	1.00E00	1.00E00
maturation of 5.8S rRNA (GO:0000460)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of striated muscle cell differentiation (GO:0051153)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of translational initiation in response to stress (GO:0043558)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of translation in response to stress (GO:0043555)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA repair-dependent chromatin remodeling (GO:0140861)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
mitotic recombination-dependent replication fork processing (GO:1990426)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation (GO:0045727)	45	0	.33	-	 < 0.01	1.00E00	1.00E00
enzyme-directed rRNA pseudouridine synthesis (GO:0000455)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of muscle cell differentiation (GO:0051149)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
snoRNA guided rRNA pseudouridine synthesis (GO:0000454)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of muscle cell differentiation (GO:0051148)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of muscle cell differentiation (GO:0051147)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of glycogen biosynthetic process (GO:0045725)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
striated muscle cell differentiation (GO:0051146)	80	0	.58	-	 < 0.01	1.00E00	1.00E00
positive regulation of cilium assembly (GO:0045724)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA 2'-O-methylation (GO:0000451)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of kinase activity (GO:0043549)	51	0	.37	-	 < 0.01	1.00E00	1.00E00
positive regulation of gluconeogenesis (GO:0045722)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of GTPase activity (GO:0043547)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor metabolic process (GO:0043545)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
protein acylation (GO:0043543)	37	0	.27	-	 < 0.01	1.00E00	1.00E00
endothelial cell migration (GO:0043542)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to lithium ion (GO:0010226)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to UV-C (GO:0010225)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to UV-B (GO:0010224)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-substrate adhesion (GO:0031589)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of glycogen biosynthetic process (GO:0045719)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of fatty acid biosynthetic process (GO:0045717)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell axon guidance (GO:0072499)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
response to ionizing radiation (GO:0010212)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
ribosome localization (GO:0033750)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
spindle checkpoint signaling (GO:0031577)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
embryonic brain development (GO:1990403)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of actin nucleation (GO:0051127)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of salivary gland boundary specification (GO:0045705)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA integrity checkpoint signaling (GO:0031570)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of salivary gland boundary specification (GO:0045704)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of actin nucleation (GO:0051126)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of actin nucleation (GO:0051125)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
synaptic assembly at neuromuscular junction (GO:0051124)	36	0	.26	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuron apoptotic process (GO:0043525)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of neuron apoptotic process (GO:0043524)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
